path,record_type,issue,details
mar2020/mar2020_images/mar2020_001_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_0_0.jpg
mar2020/mar2020_images/mar2020_001_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_0_2.jpg
mar2020/mar2020_images/mar2020_001_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_1_0.jpg
mar2020/mar2020_images/mar2020_001_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_1_2.jpg
mar2020/mar2020_images/mar2020_001_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_2_0.jpg
mar2020/mar2020_images/mar2020_001_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_001_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_001_2_2.jpg
mar2020/mar2020_images/mar2020_002_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_0_0.jpg
mar2020/mar2020_images/mar2020_002_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_0_2.jpg
mar2020/mar2020_images/mar2020_002_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_1_0.jpg
mar2020/mar2020_images/mar2020_002_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_1_2.jpg
mar2020/mar2020_images/mar2020_002_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_2_0.jpg
mar2020/mar2020_images/mar2020_002_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_002_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_002_2_2.jpg
mar2020/mar2020_images/mar2020_003_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_0_0.jpg
mar2020/mar2020_images/mar2020_003_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_0_2.jpg
mar2020/mar2020_images/mar2020_003_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_1_0.jpg
mar2020/mar2020_images/mar2020_003_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_1_2.jpg
mar2020/mar2020_images/mar2020_003_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_2_0.jpg
mar2020/mar2020_images/mar2020_003_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_003_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_003_2_2.jpg
mar2020/mar2020_images/mar2020_004_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_004_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_004_0_0.jpg
mar2020/mar2020_images/mar2020_004_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_004_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_004_0_2.jpg
