threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.0,0.0,0.6920995670995671,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.005,0.0,0.6920995670995671,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.01,0.0030581039755351682,0.691017316017316,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.015,0.0061162079510703364,0.6915584415584416,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.02,0.0061162079510703364,0.6915584415584416,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.025,0.009174311926605505,0.6915584415584416,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.03,0.009174311926605505,0.6915584415584416,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.035,0.012232415902140673,0.691017316017316,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.04,0.015290519877675839,0.6915584415584416,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.045,0.01834862385321101,0.6904761904761905,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.05,0.024464831804281346,0.6877705627705628,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.055,0.024464831804281346,0.6877705627705628,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.06,0.027522935779816515,0.6866883116883117,0.38095238095238093,0.33,0.38095238095238093,0.365,0.2857142857142857,0.395
0.065,0.03363914373088685,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.23809523809523808,0.395
0.07,0.03669724770642201,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.23809523809523808,0.395
0.075,0.03669724770642201,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.23809523809523808,0.395
0.08,0.04281345565749235,0.6877705627705628,0.38095238095238093,0.33,0.38095238095238093,0.355,0.23809523809523808,0.39
0.085,0.04587155963302751,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.19047619047619047,0.39
0.09,0.04587155963302751,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.19047619047619047,0.39
0.095,0.04587155963302751,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.19047619047619047,0.39
0.1,0.04587155963302751,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.19047619047619047,0.39
0.105,0.04587155963302751,0.685064935064935,0.38095238095238093,0.33,0.38095238095238093,0.355,0.19047619047619047,0.39
0.11,0.05810397553516819,0.6931818181818182,0.42857142857142855,0.32,0.38095238095238093,0.34,0.38095238095238093,0.37
0.115,0.06422018348623852,0.6975108225108225,0.42857142857142855,0.32,0.38095238095238093,0.335,0.38095238095238093,0.365
0.12,0.0672782874617737,0.6975108225108225,0.42857142857142855,0.32,0.38095238095238093,0.335,0.38095238095238093,0.365
0.125,0.07033639143730887,0.6975108225108225,0.42857142857142855,0.32,0.38095238095238093,0.335,0.38095238095238093,0.365
0.13,0.07339449541284403,0.6985930735930735,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.135,0.07645259938837921,0.6985930735930735,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.14,0.08256880733944955,0.6985930735930735,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.145,0.08256880733944955,0.6985930735930735,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.15,0.0856269113149847,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.34500000000000003
0.155,0.0856269113149847,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.34500000000000003
0.16,0.08868501529051988,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.34500000000000003
0.165,0.09174311926605502,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.17,0.09174311926605502,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.355
0.17500000000000002,0.09480122324159021,0.6991341991341992,0.42857142857142855,0.32,0.38095238095238093,0.33,0.38095238095238093,0.365
0.18,0.10397553516819573,0.704004329004329,0.42857142857142855,0.315,0.42857142857142855,0.33,0.38095238095238093,0.365
0.185,0.10703363914373089,0.7050865800865801,0.42857142857142855,0.315,0.42857142857142855,0.33,0.38095238095238093,0.365
0.19,0.11926605504587157,0.7056277056277056,0.42857142857142855,0.31,0.42857142857142855,0.335,0.38095238095238093,0.365
0.195,0.12538226299694188,0.7007575757575758,0.42857142857142855,0.305,0.42857142857142855,0.335,0.38095238095238093,0.365
0.2,0.13149847094801223,0.7002164502164502,0.42857142857142855,0.305,0.42857142857142855,0.335,0.38095238095238093,0.37
0.20500000000000002,0.14984709480122324,0.702922077922078,0.47619047619047616,0.305,0.47619047619047616,0.335,0.38095238095238093,0.37
