threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.0,0.0,0.6688311688311688,0.42857142857142855,0.37,0.3333333333333333,0.42,0.2857142857142857,0.465
0.005,0.0,0.6688311688311688,0.42857142857142855,0.37,0.3333333333333333,0.42,0.2857142857142857,0.465
0.01,0.0030581039755351682,0.6677489177489178,0.42857142857142855,0.37,0.3333333333333333,0.42,0.2857142857142857,0.465
0.015,0.0061162079510703364,0.6645021645021645,0.42857142857142855,0.37,0.3333333333333333,0.42,0.23809523809523808,0.465
0.02,0.012232415902140673,0.6655844155844156,0.42857142857142855,0.37,0.3333333333333333,0.42,0.23809523809523808,0.465
0.025,0.01834862385321101,0.6655844155844156,0.42857142857142855,0.37,0.3333333333333333,0.42,0.23809523809523808,0.465
0.03,0.027522935779816515,0.6612554112554112,0.42857142857142855,0.37,0.2857142857142857,0.42,0.19047619047619047,0.465
0.035,0.030581039755351678,0.6617965367965368,0.42857142857142855,0.37,0.2857142857142857,0.42,0.19047619047619047,0.46
0.04,0.03669724770642202,0.6645021645021645,0.42857142857142855,0.37,0.3333333333333333,0.4,0.19047619047619047,0.455
0.045,0.04281345565749235,0.6699134199134199,0.42857142857142855,0.365,0.38095238095238093,0.385,0.19047619047619047,0.435
0.05,0.04892966360856269,0.6731601731601732,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.055,0.04892966360856269,0.6731601731601732,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.06,0.051987767584097865,0.670995670995671,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.065,0.051987767584097865,0.670995670995671,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.07,0.05504587155963303,0.670995670995671,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.075,0.05504587155963303,0.670995670995671,0.42857142857142855,0.365,0.38095238095238093,0.375,0.2857142857142857,0.42
0.08,0.061162079510703356,0.6682900432900433,0.42857142857142855,0.365,0.38095238095238093,0.375,0.23809523809523808,0.42
0.085,0.07033639143730887,0.6699134199134199,0.42857142857142855,0.365,0.38095238095238093,0.375,0.23809523809523808,0.43
0.09,0.07951070336391437,0.6699134199134199,0.42857142857142855,0.365,0.38095238095238093,0.375,0.23809523809523808,0.43
0.095,0.07951070336391437,0.6699134199134199,0.42857142857142855,0.365,0.38095238095238093,0.375,0.23809523809523808,0.43
0.1,0.07951070336391437,0.6699134199134199,0.42857142857142855,0.365,0.38095238095238093,0.375,0.23809523809523808,0.43
0.105,0.08868501529051988,0.672077922077922,0.42857142857142855,0.36,0.38095238095238093,0.375,0.23809523809523808,0.43
