threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.001773238182067871,0.0,0.5303617571059431,0.2,0.465,0.12222222222222222,0.505,0.07777777777777778,0.5700000000000001
0.006719556748867035,0.0038314176245210726,0.530749354005168,0.2,0.465,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.011665875315666199,0.009578544061302681,0.5298880275624461,0.17777777777777778,0.465,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.016612193882465362,0.014367816091954023,0.5295865633074935,0.17777777777777778,0.465,0.13333333333333333,0.515,0.07777777777777778,0.5700000000000001
0.021558512449264527,0.018199233716475093,0.5299741602067184,0.2,0.46,0.12222222222222222,0.515,0.07777777777777778,0.5700000000000001
0.02650483101606369,0.022030651340996167,0.5303186907838071,0.2,0.46,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.03145114958286285,0.026819923371647507,0.530275624461671,0.2,0.46,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.03639746814966202,0.03352490421455938,0.5305340223944875,0.2111111111111111,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.04134378671646118,0.038314176245210725,0.5304478897502153,0.2111111111111111,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.046290105283260344,0.0450191570881226,0.5310077519379846,0.2111111111111111,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.05123642385005951,0.050766283524904206,0.5315676141257537,0.23333333333333334,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.05618274241685867,0.052681992337164744,0.5315676141257537,0.23333333333333334,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.061129060983657835,0.05842911877394635,0.5313092161929371,0.23333333333333334,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.066075379550457,0.06704980842911877,0.5314814814814814,0.24444444444444444,0.455,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.07102169811725617,0.07279693486590037,0.5310508182601206,0.24444444444444444,0.46,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.07596801668405533,0.07375478927203065,0.5310508182601206,0.24444444444444444,0.46,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.0809143352508545,0.07758620689655173,0.5310077519379846,0.24444444444444444,0.46,0.13333333333333333,0.51,0.07777777777777778,0.5700000000000001
0.08586065381765366,0.08620689655172413,0.5308785529715763,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5700000000000001
0.09080697238445282,0.09099616858237547,0.5308785529715763,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5700000000000001
0.09575329095125198,0.09578544061302681,0.5311800172265289,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5700000000000001
0.10069960951805115,0.10440613026819923,0.5310508182601206,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.10564592808485031,0.10632183908045977,0.5310508182601206,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.11059224665164948,0.11685823754789271,0.5315245478036176,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.11553856521844864,0.12164750957854405,0.5319121447028424,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.1204848837852478,0.13026819923371646,0.5316537467700259,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.12543120235204697,0.13314176245210727,0.531266149870801,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.13037752091884613,0.13601532567049807,0.5307062876830319,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.1353238394856453,0.1408045977011494,0.5307062876830319,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.5650000000000001
0.14027015805244447,0.1475095785440613,0.5303617571059431,0.2222222222222222,0.465,0.14444444444444443,0.51,0.07777777777777778,0.56
