threshold,patient_auc,df_fraction
0.0,0.8690353143841516,0.0
0.005,0.8689491817398795,0.005747126436781609
0.01,0.8689491817398795,0.011494252873563218
0.015,0.8686046511627907,0.020114942528735632
0.02,0.868733850129199,0.02586206896551724
0.025,0.870198105081826,0.031609195402298854
0.03,0.870198105081826,0.031609195402298854
0.035,0.8696813092161929,0.03735632183908046
0.04,0.8713178294573644,0.04597701149425287
0.045,0.8711024978466839,0.05172413793103448
0.05,0.8711024978466839,0.05172413793103448
0.055,0.870671834625323,0.05747126436781609
0.06,0.8707149009474591,0.0603448275862069
0.065,0.8705857019810508,0.06609195402298851
0.07,0.8703703703703703,0.06896551724137931
0.075,0.8704995693367786,0.07183908045977011
0.08,0.8704565030146425,0.07758620689655173
0.085,0.8703273040482343,0.08333333333333333
0.09,0.8702842377260982,0.08620689655172414
0.095,0.869724375538329,0.09770114942528736
0.1,0.8695521102497846,0.10632183908045977
0.105,0.8695521102497846,0.10632183908045977
0.11,0.8708010335917312,0.10919540229885058
0.115,0.8705426356589148,0.1235632183908046
0.12,0.870198105081826,0.13793103448275862
0.125,0.870198105081826,0.13793103448275862
0.13,0.870198105081826,0.14080459770114942
0.135,0.8704995693367786,0.14367816091954022
0.14,0.8703703703703703,0.14655172413793102
0.145,0.8700689061154178,0.15229885057471265
0.15,0.8700689061154178,0.15517241379310345
0.155,0.8700689061154178,0.16091954022988506
0.16,0.8695951765719208,0.1724137931034483
0.165,0.8695951765719208,0.1752873563218391
0.17,0.8695951765719208,0.1752873563218391
0.17500000000000002,0.8695951765719208,0.1752873563218391
0.18,0.8692937123169682,0.1810344827586207
0.185,0.8703703703703703,0.1925287356321839
0.19,0.870198105081826,0.19827586206896552
0.195,0.8720499569336778,0.20402298850574713
0.2,0.8749354005167959,0.21551724137931033
0.20500000000000002,0.8748492678725237,0.22126436781609196
0.21,0.8747200689061154,0.22988505747126436
0.215,0.8746339362618433,0.23563218390804597
0.22,0.8743324720068906,0.2413793103448276
0.225,0.8742032730404824,0.25
0.23,0.8740740740740741,0.25862068965517243
0.23500000000000001,0.8740740740740741,0.26436781609195403
0.24,0.8740740740740741,0.2672413793103448
0.245,0.8738587424633937,0.27298850574712646
0.25,0.8737295434969854,0.27586206896551724
0.255,0.8738587424633937,0.28160919540229884
0.26,0.8739018087855297,0.29022988505747127
0.265,0.8741602067183463,0.2959770114942529
0.27,0.874031007751938,0.3017241379310345
0.275,0.8762273901808786,0.3074712643678161
0.28,0.8765719207579673,0.3103448275862069
0.28500000000000003,0.8765719207579673,0.3132183908045977
0.29,0.8786821705426356,0.3218390804597701
0.295,0.8792420327304048,0.3333333333333333
0.3,0.8792420327304048,0.34195402298850575
0.305,0.8792850990525409,0.3448275862068966
0.31,0.8791559000861326,0.3505747126436782
0.315,0.8792850990525409,0.3620689655172414
0.32,0.8790697674418605,0.3735632183908046
0.325,0.878380706287683,0.382183908045977
0.33,0.8788544358311801,0.3879310344827586
0.335,0.8786821705426356,0.39655172413793105
0.34,0.8785960378983635,0.40229885057471265
0.34500000000000003,0.8785960378983635,0.4109195402298851
0.35000000000000003,0.8784668389319552,0.41954022988505746
0.355,0.8782515073212748,0.42528735632183906
0.36,0.8782945736434109,0.4339080459770115
0.365,0.8778208440999139,0.4454022988505747
0.37,0.8806632213608958,0.4540229885057471
0.375,0.8804909560723514,0.46839080459770116
0.38,0.8804478897502154,0.47413793103448276
0.385,0.8804909560723514,0.48563218390804597
0.39,0.8801033591731267,0.49712643678160917
0.395,0.8793712316968131,0.5086206896551724
0.4,0.8790697674418605,0.5229885057471264
0.405,0.8790267011197244,0.5316091954022989
0.41000000000000003,0.8788113695090439,0.5431034482758621
0.41500000000000004,0.8804048234280792,0.5632183908045977
0.42,0.8803617571059431,0.5689655172413793
0.425,0.8838501291989664,0.5862068965517241
0.43,0.8839793281653747,0.6063218390804598
0.435,0.8834194659776056,0.632183908045977
0.44,0.8878122308354867,0.646551724137931
0.445,0.8878122308354867,0.6522988505747126
0.45,0.8839793281653747,0.6695402298850575
0.455,0.8840654608096469,0.6839080459770115
0.46,0.8835055986218777,0.6982758620689655
0.465,0.8839793281653747,0.7126436781609196
0.47000000000000003,0.8838501291989664,0.7270114942528736
0.47500000000000003,0.8838070628768303,0.7385057471264368
0.48,0.8870801033591731,0.7528735632183908
0.485,0.8916881998277347,0.7758620689655172
0.49,0.8920757967269595,0.7931034482758621
0.495,0.891343669250646,0.8160919540229885
0.5,0.89229112833764,1.0
